,Time,Power,Omega
95,-0.1464,-0.00032731237337452874,-7576675.309595572
96,-0.14480000000000004,-0.00031421987843169215,-7273608.297029911
97,-0.14320000000000005,-0.0002939492630235139,-6804381.088507266
98,-0.1416,-0.0002382663047423325,-5515423.720887326
99,-0.13999999999999999,-0.0002675021910179002,-6192180.347636578
100,-0.1384,-0.00026750219101790015,-6192180.347636577
101,-0.13679999999999998,-0.0002563562663851881,-5934172.832990465
102,-0.1352,-0.0002473591115161789,-5725905.359170807
103,-0.1336,-0.00022799839242508565,-5277740.5653955005
104,-0.13199999999999998,-0.0002258496227552855,-5228000.526742719
105,-0.13040000000000002,-0.00020967434732091094,-4853572.854650715
106,-0.12880000000000003,-0.00023174533123525415,-5364475.260075327
